"id","Journal_name","Create_date","Gender","Demographics","Comment_count","Comment_quality","Editor_experience","Professional_status","Verdict","Second_verdict","Response_time"
60,"Linguistics and Philosophy","2024-02-04 09:38:57 UTC","","",2,"5","5","Graduate student","Rejection","",8.0
61,"Ergo","2024-02-04 09:21:01 UTC","","",2,"5","5","Graduate student","Rejection","",2.0
62,"Analysis","2024-02-04 09:19:42 UTC","","",2,"5","5","Graduate student","Rejection","",2.0
63,"Ergo","2024-02-02 16:32:29 UTC","Male","White",2,"5","5","Graduate student","Rejection","",2.6
64,"Australasian Journal of Philosophy","2024-02-02 16:22:31 UTC","Male","White",2,"3","4","Tenure track faculty","Revise and resubmit","Acceptance",4.0
65,"British Journal for the Philosophy of Science","2024-02-02 16:21:16 UTC","Male","White",1,"4","5","Tenure track faculty","Revise and resubmit","Acceptance",3.0
66,"Journal of Ethics & Social Philosophy","2024-02-01 18:40:46 UTC","","",0,"","3","Independent scholar","Rejection","",0.5
67,"Linguistics and Philosophy","2024-01-31 03:58:06 UTC","","",2,"4","2","Graduate student","Revise and resubmit","Rejection",10.0
68,"Linguistics and Philosophy","2024-01-31 03:56:12 UTC","","",2,"4","4","Graduate student","Rejection","",8.0
69,"Journal of the History of Philosophy","2024-01-30 19:02:07 UTC","","",3,"3","4","Non-tenure track faculty","Rejection","",3.0
70,"Oxford Studies in Ancient Philosophy","2024-01-30 18:59:44 UTC","","",2,"3","2","Non-tenure track faculty","Revise and resubmit","Rejection",6.0
71,"Philosophical Studies","2024-01-30 14:21:03 UTC","","",2,"5","4","Tenure track faculty","Rejection","",4.5
72,"Journal of Moral Philosophy","2024-01-30 08:30:47 UTC","Male","White",0,"","1","Other","Rejection","",2.0
73,"Journal of Philosophical Research","2024-01-29 14:49:02 UTC","Male","Asian",2,"4","5","Non-tenure track faculty","Revise and resubmit","Acceptance",2.0
74,"Australasian Journal of Philosophy","2024-01-28 20:41:04 UTC","","",1,"2","","Graduate student","Rejection","",1.7
75,"Inquiry","2024-01-27 10:20:23 UTC","Male","Asian",3,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",3.0
76,"Phronesis","2024-01-26 23:59:09 UTC","","",1,"4","4","Non-tenure track faculty","Rejection","",4.0
77,"Inquiry","2024-01-26 14:02:06 UTC","Male","White",1,"4","4","Graduate student","Revise and resubmit","Acceptance",2.0
78,"Phronesis","2024-01-26 06:55:07 UTC","","",1,"3","4","Non-tenure track faculty","Rejection","",0.8
79,"Phronesis","2024-01-26 06:54:04 UTC","","",1,"4","4","Non-tenure track faculty","Rejection","",1.0
80,"Philosophical Studies","2024-01-25 18:23:55 UTC","Female","White",2,"3","5","Non-tenure track faculty","Rejection","",8.0
81,"Philosophers' Imprint","2024-01-25 18:21:54 UTC","Female","White",0,"","5","Non-tenure track faculty","Rejection","",0.33
82,"Ergo","2024-01-25 18:20:04 UTC","Female","White",0,"","4","Non-tenure track faculty","Rejection","",0.15
83,"British Journal of Aesthetics","2024-01-25 13:47:29 UTC","","",2,"5","5","Graduate student","Revise and resubmit","Acceptance",3.0
84,"Philosophers' Imprint","2024-01-25 13:45:24 UTC","","",0,"","","Graduate student","Rejection","",1.0
85,"Mind","2024-01-25 13:43:40 UTC","","",0,"","2","Graduate student","Rejection","",3.0
86,"Philosophical Review","2024-01-23 22:41:27 UTC","Male","Asian",2,"4","4","Graduate student","Rejection","",5.0
87,"Australasian Journal of Philosophy","2024-01-23 20:14:11 UTC","","",2,"3","3","Tenured faculty","Rejection","",10.0
88,"Philosophy and Phenomenological Research","2024-01-23 13:59:59 UTC","Male","White",0,"","","Graduate student","Rejection","",2.5
89,"Philosophy and Phenomenological Research","2024-01-21 21:37:13 UTC","Male","Asian",0,"","","Graduate student","Rejection","",2.4
90,"Journal of the American Philosophical Association","2024-01-19 12:34:34 UTC","Male","Middle Eastern/North African",1,"3","4","Adjunct","Rejection","",0.2
91,"Ergo","2024-01-16 08:21:33 UTC","Male","White",0,"","4","Independent scholar","Rejection","",0.2
92,"Journal of Applied Philosophy","2024-01-16 01:21:01 UTC","Something else","Asian",2,"3","3","Graduate student","Revise and resubmit","Rejection",3.5
93,"Mind","2024-01-16 01:18:36 UTC","Female","",1,"1","1","Graduate student","Revise and resubmit","Rejection",20.5
94,"Analytic Philosophy","2024-01-15 10:16:59 UTC","Male","White",1,"5","5","Graduate student","Acceptance","",5.0
95,"Archiv für Geschichte der Philosophie","2024-01-14 15:42:22 UTC","Male","White",1,"4","5","Non-tenure track faculty","Rejection","",1.0
96,"Nous","2024-01-13 16:12:09 UTC","","",2,"4","","Graduate student","Rejection","",2.0
97,"European Journal of Philosophy","2024-01-13 12:30:19 UTC","Male","White",0,"","3","Graduate student","Rejection","",0.1
98,"Ergo","2024-01-13 12:29:54 UTC","Male","White",0,"","3","Graduate student","Rejection","",0.75
99,"Philosophy and Public Affairs","2024-01-13 12:29:10 UTC","Male","White",1,"4","4","Graduate student","Rejection","",2.0
101,"Mind","2024-01-10 23:42:58 UTC","Male","Middle Eastern/North African",2,"5","1","Other","Revise and resubmit","Rejection",4.0
102,"Analysis","2024-01-10 18:27:15 UTC","Male","White",2,"5","5","Other","Revise and resubmit","Acceptance",3.0
103,"Philosophical Studies","2024-01-08 10:33:51 UTC","Male","White",0,"","5","Non-tenure track faculty","Rejection","",0.25
104,"Analysis","2024-01-07 15:44:36 UTC","Female","White",2,"3","5","Tenure track faculty","Rejection","",2.25
106,"Metaphysica","2024-01-05 17:00:20 UTC","Male","Hispanic/Latina/Latino",5,"4","5","Graduate student","Revise and resubmit","Acceptance",4.0
108,"Ethics","2024-01-05 14:51:35 UTC","","",0,"","4","Tenure track faculty","Rejection","",1.0
110,"Linguistics and Philosophy","2023-12-30 23:37:40 UTC","Male","Asian",2,"4","4","Graduate student","Rejection","",4.0
112,"American Philosophical Quarterly","2023-12-29 22:09:14 UTC","","",1,"2","4","Non-tenure track faculty","Rejection","",1.2
113,"Analysis","2023-12-29 10:33:54 UTC","Male","White",1,"3","5","Non-tenure track faculty","Rejection","",1.5
114,"Philosophical Studies","2023-12-25 14:23:14 UTC","","",3,"5","5","Graduate student","Revise and resubmit","Acceptance",4.0
115,"Philosophy and Phenomenological Research","2023-12-25 14:20:21 UTC","","White",0,"","","Graduate student","Rejection","",2.5
116,"Journal of the American Philosophical Association","2023-12-25 09:54:00 UTC","Male","Asian",0,"","4","Non-tenure track faculty","Rejection","",0.4
117,"American Philosophical Quarterly","2023-12-25 09:45:38 UTC","Male","Asian",2,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",10.0
118,"Acta Analytica","2023-12-25 09:44:23 UTC","Male","Asian",1,"4","3","Non-tenure track faculty","Rejection","",4.0
119,"Journal of Applied Philosophy","2023-12-22 21:27:25 UTC","","White",2,"5","5","Tenure track faculty","Revise and resubmit","Acceptance",2.5
120,"Ergo","2023-12-22 13:02:03 UTC","Male","Asian",2,"5","5","Graduate student","Revise and resubmit","Rejection",2.36
121,"Australasian Journal of Philosophy","2023-12-21 20:12:44 UTC","","",1,"2","3","Tenure track faculty","Rejection","",4.0
122,"Australasian Journal of Philosophy","2023-12-21 15:49:19 UTC","","",1,"2","3","Non-tenure track faculty","Rejection","",4.0
123,"European Journal of Philosophy","2023-12-20 15:50:03 UTC","","",1,"2","1","Graduate student","Rejection","",6.0
124,"Analysis","2023-12-20 10:05:01 UTC","","",0,"","4","Tenure track faculty","Rejection","",1.0
125,"Metaphysica","2023-12-17 18:52:15 UTC","","",2,"5","3","Tenure track faculty","Rejection","",1.0
126,"Metaphysica","2023-12-17 18:50:21 UTC","","",5,"5","5","Tenure track faculty","Rejection","",2.0
127,"Australasian Journal of Philosophy","2023-12-15 20:01:13 UTC","Male","White",1,"5","2","Graduate student","Rejection","",5.75
128,"Journal of Ethics & Social Philosophy","2023-12-12 17:26:15 UTC","Male","White",0,"","","Graduate student","Rejection","",1.0
129,"Journal of Philosophy","2023-12-12 17:25:06 UTC","","White",0,"","4","Graduate student","Rejection","",4.0
130,"Philosophy and Public Affairs","2023-12-12 17:22:51 UTC","Male","White",0,"","","Graduate student","Rejection","",0.5
131,"Ethics","2023-12-12 17:21:05 UTC","","",0,"","","Graduate student","Rejection","",3.7
132,"Political Theory","2023-12-11 09:36:23 UTC","Male","White",0,"","1","Other","Rejection","",1.0
133,"Nous","2023-12-11 08:30:00 UTC","Prefer not to answer","White",2,"5","5","Tenured faculty","Acceptance","",2.0
134,"Pacific Philosophical Quarterly","2023-12-09 21:43:15 UTC","Male","Middle Eastern/North African",0,"","1","Other","Withdraw","",11.3
135,"Journal of Aesthetics and Art Criticism","2023-12-09 17:30:57 UTC","","",2,"3","1","Tenure track faculty","Rejection","",5.5
136,"Ergo","2023-12-09 08:13:31 UTC","Female","Asian",1,"5","5","Tenure track faculty","Rejection","",2.0
137,"Analysis","2023-12-08 16:57:00 UTC","","",1,"2","","Graduate student","Rejection","",2.0
138,"Synthese","2023-12-08 16:01:49 UTC","Male","Middle Eastern/North African, White",4,"5","5","Other","Rejection","",3.5
139,"Analysis","2023-12-06 23:45:33 UTC","Male","White",1,"5","5","Tenure track faculty","Rejection","",1.5
140,"Episteme","2023-12-05 18:13:39 UTC","","",1,"3","5","Graduate student","Rejection","",3.0
141,"Episteme","2023-12-05 13:48:21 UTC","Male","White",1,"3","4","Graduate student","Rejection","",3.5
142,"Journal of Moral Philosophy","2023-12-05 05:37:17 UTC","Female","White",1,"2","5","Non-tenure track faculty","Rejection","",2.0
143,"Journal of Political Philosophy","2023-12-05 05:36:29 UTC","Female","White",2,"4","5","Non-tenure track faculty","Rejection","",2.0
144,"British Journal of Aesthetics","2023-12-05 01:06:01 UTC","Female","",2,"5","5","Tenure track faculty","Rejection","",1.5
145,"Journal of the History of Philosophy","2023-12-04 21:18:35 UTC","Female","White",1,"3","3","Tenure track faculty","Rejection","",0.3
146,"British Journal of Aesthetics","2023-12-04 21:14:38 UTC","Female","White",2,"5","5","Tenure track faculty","Revise and resubmit","Acceptance",2.0
147,"European Journal of Philosophy","2023-12-04 17:31:08 UTC","","",0,"","","Graduate student","Rejection","",0.5
148,"Southern Journal of Philosophy","2023-12-04 17:27:18 UTC","","",2,"3","","Graduate student","Rejection","",1.3
149,"Philosophical Studies","2023-12-04 17:25:20 UTC","","",2,"4","","Graduate student","Rejection","",5.0
150,"Philosophy and Phenomenological Research","2023-12-04 17:22:57 UTC","","",0,"","","Graduate student","Rejection","",0.25
151,"Journal of the American Philosophical Association","2023-12-04 01:29:14 UTC","Female","Asian",1,"3","4","Tenure track faculty","Rejection","",1.0
152,"Australasian Journal of Philosophy","2023-12-02 22:31:27 UTC","","White",1,"4","5","Tenured faculty","Rejection","",2.0
153,"Review of Philosophy and Psychology","2023-12-02 22:29:35 UTC","","White",2,"2","1","Tenured faculty","Withdraw","",6.0
154,"Philosophy and Public Affairs","2023-11-30 18:08:23 UTC","Female","",1,"3","4","Tenure track faculty","Rejection","",0.3
155,"Ethics","2023-11-30 18:07:21 UTC","Female","",0,"","3","Tenure track faculty","Rejection","",4.25
156,"Australasian Journal of Philosophy","2023-11-30 18:06:26 UTC","Female","",2,"5","5","Tenure track faculty","Rejection","",4.0
157,"Philosophical Studies","2023-11-30 18:05:41 UTC","Female","",0,"","3","Tenure track faculty","Rejection","",2.0
158,"Philosophy and Phenomenological Research","2023-11-30 18:04:37 UTC","Female","",0,"","3","Tenure track faculty","Rejection","",2.0
159,"Mind","2023-11-30 18:03:15 UTC","Female","",2,"5","5","Tenure track faculty","Rejection","",2.75
160,"Journal of Ethics & Social Philosophy","2023-11-30 06:33:49 UTC","","",2,"5","5","Graduate student","Revise and resubmit","Acceptance",3.5
162,"Ergo","2023-11-28 16:43:37 UTC","","",2,"2","4","Non-tenure track faculty","Rejection","",3.25
164,"Philosophical Quarterly","2023-11-25 09:55:21 UTC","Male","White",2,"5","5","Other","Revise and resubmit","Acceptance",3.0
165,"Philosophical Quarterly","2023-11-25 03:30:31 UTC","Male","Middle Eastern/North African",2,"2","1","Other","Rejection","",1.0
166,"Philosophy and Public Affairs","2023-11-23 13:26:26 UTC","Male","White",2,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",4.5
167,"European Journal of Philosophy","2023-11-22 21:22:17 UTC","Male","White",0,"","3","Non-tenure track faculty","Rejection","",1.0
168,"Mind and Language","2023-11-22 21:20:46 UTC","Male","White",2,"3","3","Non-tenure track faculty","Rejection","",2.8
169,"Ethical Theory and Moral Practice","2023-11-22 21:18:52 UTC","Male","White",2,"4","3","Graduate student","Revise and resubmit","Acceptance",3.0
170,"Analysis","2023-11-22 21:18:34 UTC","Male","White",2,"3","3","Non-tenure track faculty","Rejection","",1.6
172,"Episteme","2023-11-21 15:39:55 UTC","Male","White",1,"3","3","Graduate student","Rejection","",8.0
174,"Journal of Philosophy","2023-11-21 06:14:40 UTC","","",1,"1","2","Graduate student","Rejection","",14.0
175,"Erkenntnis","2023-11-21 04:23:05 UTC","","",2,"4","4","Non-tenure track faculty","Revise and resubmit","Rejection",4.0
176,"Journal of Applied Philosophy","2023-11-20 18:05:01 UTC","Male","Middle Eastern/North African",2,"2","2","Other","Rejection","",7.0
177,"Philosophia","2023-11-15 03:36:10 UTC","Female","Asian",2,"5","1","Tenure track faculty","Revise and resubmit","Rejection",9.0
178,"Philosophical Studies","2023-11-15 03:34:57 UTC","Female","Asian",2,"3","3","Tenure track faculty","Rejection","",13.0
180,"Thought","2023-11-10 18:41:17 UTC","","",0,"","2","Graduate student","Rejection","",0.5
184,"Philosophy and Social Criticism","2023-11-09 20:19:34 UTC","Male","White",0,"","1","Graduate student","Rejection","",1.0
185,"Philosophical Review","2023-11-09 05:31:24 UTC","Female","Asian",0,"","2","Graduate student","Rejection","",1.0
186,"Episteme","2023-11-08 13:34:01 UTC","Male","White",1,"2","4","Graduate student","Rejection","",0.5
187,"International Journal for Philosophy of Religion","2023-11-08 06:57:16 UTC","Male","Middle Eastern/North African",0,"","","Adjunct","Rejection","",0.46
188,"Australasian Journal of Philosophy","2023-11-06 14:32:55 UTC","","",2,"5","5","Tenure track faculty","Revise and resubmit","Acceptance",2.0
189,"Philosophy and Public Affairs","2023-11-06 14:30:59 UTC","","",1,"1","1","Graduate student","Rejection","",0.5
190,"Philosophy and Public Affairs","2023-11-06 04:46:27 UTC","Male","White",0,"","1","Non-tenure track faculty","Rejection","",0.75
191,"Nous","2023-11-05 13:34:10 UTC","Male","White",0,"","3","Non-tenure track faculty","Rejection","",3.0
193,"Synthese","2023-11-05 01:11:27 UTC","Prefer not to answer","Asian",3,"3","4","Graduate student","Rejection","",3.5
195,"Analysis","2023-11-01 19:11:01 UTC","Male","Asian",1,"5","5","Graduate student","Rejection","",0.2
196,"Ethics","2023-10-30 18:03:44 UTC","","",0,"","","Tenure track faculty","Rejection","",2.0
197,"Utilitas","2023-10-23 14:23:19 UTC","","",2,"5","5","Graduate student","Rejection","",2.0
198,"Ergo","2023-10-20 20:58:03 UTC","Female","White",0,"","3","Independent scholar","Rejection","",0.1
200,"Canadian Journal of Philosophy","2023-10-20 15:10:45 UTC","Male","White",2,"2","1","Tenured faculty","Rejection","",5.0
201,"Philosophical Quarterly","2023-10-20 13:35:12 UTC","Prefer not to answer","",1,"5","5","Graduate student","Rejection","",1.0
202,"Philosophical Quarterly","2023-10-20 12:16:33 UTC","Male","White",2,"2","4","Graduate student","Rejection","",3.2
203,"Synthese","2023-10-19 14:57:53 UTC","Female","White",2,"5","5","Non-tenure track faculty","Conditional acceptance","Acceptance",3.0
204,"Erkenntnis","2023-10-19 11:44:14 UTC","Male","White",1,"4","4","Graduate student","Revise and resubmit","Rejection",8.0
205,"Philosophical Studies","2023-10-18 02:21:57 UTC","","White",1,"2","3","Tenured faculty","Rejection","",4.0
206,"Philosophical Review","2023-10-13 13:57:02 UTC","Male","Asian",0,"","","Graduate student","Rejection","",0.9
207,"Australasian Journal of Philosophy","2023-10-13 12:32:44 UTC","","",2,"4","4","Graduate student","Revise and resubmit","Acceptance",3.0
208,"Journal of Philosophy","2023-10-11 14:32:49 UTC","Male","White",0,"","","Graduate student","Rejection","",4.0
209,"Ergo","2023-10-10 13:54:55 UTC","Male","White",0,"","4","Graduate student","Rejection","",0.25
210,"Ergo","2023-10-10 13:54:09 UTC","Male","White",0,"","1","Graduate student","Rejection","",1.5
211,"Philosophical Studies","2023-10-10 10:26:34 UTC","","",2,"5","5","Graduate student","Revise and resubmit","Acceptance",15.0
214,"Ethics and Information Technology","2023-10-09 20:04:54 UTC","","Other race/ethnicity",0,"","1","Tenure track faculty","Withdraw","",11.0
215,"Journal of Political Philosophy","2023-10-08 08:38:34 UTC","Male","White",0,"","2","Other","Rejection","",0.4
216,"Journal of Ethics & Social Philosophy","2023-10-05 21:54:59 UTC","Prefer not to answer","",2,"5","5","Other","Revise and resubmit","Acceptance",1.5
217,"Ergo","2023-10-05 08:35:32 UTC","Female","Other race/ethnicity",1,"1","1","Tenure track faculty","Rejection","",1.0
218,"Journal of Ethics & Social Philosophy","2023-10-04 08:59:56 UTC","","",0,"","","Non-tenure track faculty","Rejection","",0.15
220,"Journal of the History of Philosophy","2023-10-02 21:31:43 UTC","Prefer not to answer","",2,"3","2","Tenured faculty","Revise and resubmit","Rejection",3.0
221,"Ergo","2023-09-29 18:11:25 UTC","Male","Asian",2,"4","5","Graduate student","Revise and resubmit","Acceptance",2.0
222,"Philosophia","2023-09-29 10:32:56 UTC","Male","White",2,"3","2","Graduate student","Revise and resubmit","Rejection",9.0
223,"Philosophical Studies","2023-09-29 00:59:13 UTC","","",1,"1","1","Tenure track faculty","Rejection","",11.0
224,"Mind","2023-09-27 21:14:29 UTC","Male","Asian",0,"","2","Non-tenure track faculty","Rejection","",3.0
225,"Journal of Moral Philosophy","2023-09-26 18:12:40 UTC","","",1,"1","4","Non-tenure track faculty","Rejection","",3.3
226,"Journal of Ethics & Social Philosophy","2023-09-26 04:00:24 UTC","Male","Middle Eastern/North African",0,"","","Non-tenure track faculty","Rejection","",0.66
227,"Ethics","2023-09-25 00:21:04 UTC","Female","Black, Indigenous North, Central or South American, White",0,"","1","Tenured faculty","Rejection","",5.0
228,"Synthese","2023-09-24 22:44:36 UTC","","",2,"5","5","Tenure track faculty","Rejection","",2.5
229,"Ethics","2023-09-24 09:41:02 UTC","","",0,"","1","Tenure track faculty","Rejection","",3.5
230,"Erkenntnis","2023-09-24 09:39:37 UTC","","",2,"5","5","Tenure track faculty","Rejection","",2.5
231,"Philosophical Studies","2023-09-23 18:24:40 UTC","Male","White",1,"1","1","Non-tenure track faculty","Rejection","",4.0
232,"British Journal for the History of Philosophy","2023-09-22 01:06:36 UTC","Male","White",1,"2","2","Graduate student","Rejection","",7.0
233,"Mind","2023-09-21 14:25:01 UTC","Female","White",2,"4","4","Tenured faculty","Rejection","",3.5
234,"Journal of the History of Philosophy","2023-09-20 13:37:40 UTC","Male","White",2,"5","5","Non-tenure track faculty","Rejection","",2.5
235,"Ergo","2023-09-16 13:41:57 UTC","Male","White",2,"4","5","Tenured faculty","Revise and resubmit","Rejection",2.5
236,"Canadian Journal of Philosophy","2023-09-15 07:31:43 UTC","Male","White",0,"","1","Tenured faculty","Rejection","",3.5
237,"Analysis","2023-09-15 06:11:30 UTC","Male","Asian",5,"5","5","Other","Rejection","",1.2
238,"Ethical Theory and Moral Practice","2023-09-14 17:20:49 UTC","Male","White",2,"4","5","Graduate student","Rejection","",4.0
243,"Pacific Philosophical Quarterly","2023-09-12 14:35:16 UTC","Male","White",0,"","2","Tenured faculty","Rejection","",0.1
244,"Southern Journal of Philosophy","2023-09-12 14:33:37 UTC","Male","White",1,"4","5","Tenured faculty","Conditional acceptance","Acceptance",3.5
245,"Journal of Value Inquiry","2023-09-06 17:30:35 UTC","","",2,"5","5","Graduate student","Conditional acceptance","Acceptance",5.0
246,"Philosophy and Public Affairs","2023-09-06 17:29:45 UTC","","",0,"","2","Graduate student","Rejection","",1.0
247,"Utilitas","2023-09-06 17:28:19 UTC","","",1,"2","5","Graduate student","Rejection","",2.0
248,"Journal of Social Philosophy","2023-09-06 17:27:22 UTC","Male","White",2,"5","5","Graduate student","Conditional acceptance","Acceptance",3.0
249,"Biology and Philosophy","2023-09-06 17:25:39 UTC","Male","White",2,"5","3","Graduate student","Rejection","",4.0
250,"Ergo","2023-09-06 15:51:24 UTC","Female","White",0,"","4","Tenure track faculty","Rejection","",0.5
252,"Journal of the American Philosophical Association","2023-09-06 09:16:19 UTC","Male","Other race/ethnicity",2,"5","5","Non-tenure track faculty","Revise and resubmit","Acceptance",5.0
253,"Philosophers' Imprint","2023-09-05 15:48:19 UTC","Male","Other race/ethnicity",0,"","","Non-tenure track faculty","Rejection","",0.7
254,"Philosophical Studies","2023-09-01 09:29:04 UTC","Male","White",1,"3","4","Graduate student","Rejection","",1.6
255,"Journal of the History of Philosophy","2023-08-31 19:20:05 UTC","Male","Asian",0,"","","Graduate student","Rejection","",0.5
256,"Ergo","2023-08-31 19:19:26 UTC","Male","Asian",0,"","4","Graduate student","Rejection","",0.5
